symbol,timestamp,open,high,low,close,volume,trade_count,vwap
QQQ,2023-07-10 04:00:00+00:00,365.96,382.86,363.41,379.07,250611941.0,1824707.0,373.109084
QQQ,2023-07-17 04:00:00+00:00,379.8,387.98,375.191,375.63,282995020.0,2094392.0,381.398129
QQQ,2023-07-24 04:00:00+00:00,376.62,384.71,374.34,383.48,247433457.0,1960507.0,379.356427
QQQ,2023-07-31 04:00:00+00:00,383.79,384.88,371.53,372.04,267908305.0,2018870.0,377.29958
QQQ,2023-08-07 04:00:00+00:00,373.88,375.29,364.69,366.24,253999583.0,2030868.0,369.775774
QQQ,2023-08-14 04:00:00+00:00,365.43,370.47,354.71,358.13,264802293.0,1900270.0,363.11693
QQQ,2023-08-21 04:00:00+00:00,359.62,372.74,358.58,364.02,284194649.0,2039913.0,364.26469
QQQ,2023-08-28 04:00:00+00:00,366.99,380.83,364.25,377.59,216772983.0,1606134.0,373.716775
QQQ,2023-09-04 04:00:00+00:00,376.77,379.3093,369.15,372.58,163318838.0,1229304.0,373.944551
QQQ,2023-09-11 04:00:00+00:00,375.66,378.27,369.86,370.81,245560850.0,1674930.0,374.298913
QQQ,2023-09-18 04:00:00+00:00,369.32,371.79,357.59,357.91,241538501.0,1857578.0,364.380237
QQQ,2023-09-25 04:00:00+00:00,356.93,362.95,351.36,358.27,270354621.0,2078813.0,356.878034
QQQ,2023-10-02 04:00:00+00:00,358.54,365.91,353.275,364.7,288153808.0,2220710.0,358.722317
QQQ,2023-10-09 04:00:00+00:00,362.3,373.74,360.78,365.28,232693871.0,1770797.0,368.067932
QQQ,2023-10-16 04:00:00+00:00,366.62,370.48,354.37,354.6,294506553.0,2184710.0,363.569971
QQQ,2023-10-23 04:00:00+00:00,353.26,359.91,342.35,345.31,321870987.0,2435128.0,350.841154
QQQ,2023-10-30 04:00:00+00:00,347.83,369.02,346.45,367.71,273634836.0,2047607.0,356.266366
QQQ,2023-11-06 05:00:00+00:00,368.49,378.54,366.91,378.39,237672352.0,1854075.0,372.403631
QQQ,2023-11-13 05:00:00+00:00,376.79,387.75,375.24,386.04,254815145.0,1896137.0,383.96584
QQQ,2023-11-20 05:00:00+00:00,386.05,393.07,386.05,389.51,147870340.0,1205794.0,389.376099
QQQ,2023-11-27 05:00:00+00:00,389.01,394.14,385.82,389.94,201891851.0,1638944.0,389.250663
QQQ,2023-12-04 05:00:00+00:00,386.09,392.62,382.66,392.17,232518891.0,1857088.0,387.874121
QQQ,2023-12-11 05:00:00+00:00,391.74,406.5399,391.53,405.34,254337107.0,2005955.0,400.845141
QQQ,2023-12-18 05:00:00+00:00,404.93,410.4699,402.9,408.38,216487158.0,1741938.0,407.264714
QQQ,2023-12-25 05:00:00+00:00,409.25,412.92,407.58,409.52,124435179.0,1052637.0,410.523212
QQQ,2024-01-01 05:00:00+00:00,405.84,406.09,395.34,396.75,189505412.0,1667668.0,399.496751
QQQ,2024-01-08 05:00:00+00:00,397.99,411.25,397.8399,409.56,209878253.0,1788470.0,406.256692
QQQ,2024-01-15 05:00:00+00:00,408.31,421.34,402.92,421.18,228478371.0,1926098.0,411.367506
QQQ,2024-01-22 05:00:00+00:00,423.41,429.85,420.57,423.81,206518551.0,1819739.0,424.882938
QQQ,2024-01-29 05:00:00+00:00,424.27,430.24,416.79,429.01,250075386.0,2175782.0,423.414327
QQQ,2024-02-05 05:00:00+00:00,429.07,437.845,425.0,437.05,180282001.0,1689094.0,430.792197
QQQ,2024-02-12 05:00:00+00:00,436.94,439.14,425.3305,430.57,235300217.0,2137460.0,431.846254
QQQ,2024-02-19 05:00:00+00:00,428.55,440.59,421.63,436.78,198120761.0,1798923.0,431.089292
